地段位置或門牌,社區簡稱,交易日期,總價(萬元),"單價
中正區廈門街１２３巷１８號四樓,,114/05/17,1600,58.88,27.17,100.00%,公寓(5樓含以下無電梯),50,"四層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,頂樓加蓋;
中正區同安街４３巷３號二樓,三福河堤春曉,114/05/17,2890,74.73,38.67,77.71%,公寓(5樓含以下無電梯),39,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;
中正區中華路二段７５巷１７號二樓之９,中華大廈,114/05/16,1550,74.04,20.94,100.00%,華廈(10層含以下有電梯),49,"二層,陽臺/七層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區臨沂街６５巷２之２號三樓,,114/05/14,2460,87.53,28.11,85.19%,公寓(5樓含以下無電梯),42,三層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;陽台外推;
中正區銅山街１２號十樓,囍園,114/05/14,20238,128.99,156.9,62.12%,住宅大樓(11層含以上有電梯),18,十層/十四層,房地(土地+建物)+車位,土:1 建:2車:3,4房2廳4衛,,有,有,住家用,
中正區臨沂街６１巷２９之１號四樓,,114/05/14,2468,83.52,29.55,100.00%,公寓(5樓含以下無電梯),55,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區延平南路８９號八樓之１,新美齊硯,114/05/13,1368,120.53,11.35,63.01%,住宅大樓(11層含以上有電梯),1,八層/十五層,房地(土地+建物),土:1 建:1車:0,1房1衛,,有,有,住家用,
中正區博愛路１２２號十樓之２,鴻翔新鑽,114/05/13,1151.4,78.58,14.65,61.68%,住宅大樓(11層含以上有電梯),36,十層/十二層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,
中正區博愛路１２２號十樓之３,鴻翔新鑽,114/05/13,1378.6,78.56,17.55,63.18%,住宅大樓(11層含以上有電梯),36,十層/十二層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,
中正區廈門街１３１巷６之１號三樓,,114/05/11,2900,65.58,44.22,51.13%,華廈(10層含以下有電梯),32,三層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,200,有,有,住家用,其他增建;
中正區詔安街２７６巷６號二樓之１,,114/05/10,1600,56.25,28.44,100.00%,公寓(5樓含以下無電梯),56,"二層,露台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;其他增建;
中正區晉江街２８號五樓,,114/05/09,2000,57.24,34.94,75.06%,公寓(5樓含以下無電梯),37,五層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,陽台外推;其他增建;
中正區杭州南路一段７１巷３之５號,,114/05/09,2580,83.36,30.95,91.26%,公寓(5樓含以下無電梯),57,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
中正區仁愛路二段８巷１０號十三樓,閱狷聲,114/05/09,8668,143.52,82.29,61.03%,住宅大樓(11層含以上有電梯),8,十三層/十四層,房地(土地+建物)+車位,土:2 建:1車:3,2房2廳2衛,700,有,有,住家用,
中正區重慶南路三段２３號七樓,春暉華廈,114/05/08,3000,76.79,39.07,78.86%,住宅大樓(11層含以上有電梯),48,七層/十二層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,有,有,住家用,陽台外推;
中正區廈門街１３７號三樓之２,奕品竹,114/05/08,2498,78.64,31.77,51.77%,住宅大樓(11層含以上有電梯),7,三層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,,有,有,住家用,
中正區愛國東路１１６巷５號四樓之１,元大天匯,114/05/07,5138,117.99,43.55,61.16%,住宅大樓(11層含以上有電梯),40,四層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,其他增建;
中正區中華路二段４０９巷２５號二樓,,114/05/07,1790,52.93,33.82,100.00%,公寓(5樓含以下無電梯),50,"二層,陽臺/四層",房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,
中正區同安街２８巷９弄１號四樓之１,,114/05/06,3130,86.69,36.11,74.92%,華廈(10層含以下有電梯),41,四層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,其他增建;
中正區羅斯福路三段２８４巷８號四樓,,114/05/06,2700,71.45,37.79,100.00%,公寓(5樓含以下無電梯),48,"四層,陽臺/五層",房地(土地+建物),土:1 建:1車:0,7房1廳7衛,,無,無,住家用,格局變更陽台外推;
中正區廈門街７１巷２８之１號四樓,,114/05/06,2040,59.88,34.07,100.00%,公寓(5樓含以下無電梯),49,"四層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,陽台外推;
中正區八德路一段４３巷１０號四樓,匯大大廈,114/05/06,2500,112.66,22.19,100.00%,公寓(5樓含以下無電梯),56,四層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區大埔街２５巷２之２號三樓,,114/05/04,540,19.12,28.24,72.40%,公寓(5樓含以下無電梯),42,三層/六層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區羅斯福路一段８３巷２號二樓之１１,璞趣江南,114/05/03,1700,156.37,10.87,56.54%,住宅大樓(11層含以上有電梯),16,二層/十四層,房地(土地+建物),土:3 建:1車:0,1房1廳1衛,,有,有,住家用,土地價格：1455萬元整、建物價格：245萬元整。陽台外推;其他增建;
中正區臨沂街２５號五樓,頂禾園,114/05/03,28880,179.62,216.74,55.88%,住宅大樓(11層含以上有電梯),10,五層/二十層,房地(土地+建物)+車位,土:1 建:1車:5,,"2,000",有,有,住家用,
中正區詔安街５６號二樓,,114/04/30,1320,74.38,17.75,100.00%,公寓(5樓含以下無電梯),49,"二層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,
中正區中華路二段３１５巷４弄１號四樓之２,國盛國宅,114/04/30,1500,69.41,21.61,94.99%,華廈(10層含以下有電梯),45,四層/七層,房地(土地+建物),土:2 建:1車:0,3房1廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區南昌路一段１０８號四樓之５,中正DC,114/04/30,1678,159.08,10.55,60.14%,住宅大樓(11層含以上有電梯),16,四層/十五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,
中正區忠孝西路一段５０號十六樓之１１,亞洲廣場大樓,114/04/30,1230,88.72,13.86,63.54%,住宅大樓(11層含以上有電梯),35,十六層/二十七層,房地(土地+建物),土:1 建:1車:0,,,有,有,住家用,
中正區三元街２４０之２號三樓,,114/04/29,636,18.7,34.02,82.94%,住宅大樓(11層含以上有電梯),42,三層/十二層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區汀州路二段１２７巷４號三樓,,114/04/27,2500,76.71,32.59,100.00%,公寓(5樓含以下無電梯),50,"三層,陽臺/四層",房地(土地+建物),土:4 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
中正區仁愛路二段９１巷１２之１號五樓,,114/04/27,3030,127.06,23.85,57.40%,華廈(10層含以下有電梯),23,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,陽台外推;其他增建;
中正區金門街９之１９號三樓之１,天壇大廈,114/04/26,2820,79.49,35.48,79.31%,華廈(10層含以下有電梯),45,三層/六層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,
中正區廈門街７１巷５號三樓,中正觀邸大廈,114/04/26,2140,72.92,29.35,76.70%,公寓(5樓含以下無電梯),43,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;其他增建;
中正區詔安街２２０巷４號三樓,,114/04/23,2440,57.2,42.66,81.40%,公寓(5樓含以下無電梯),38,三層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,陽台外推;
中正區羅斯福路四段４０巷１號三樓,台大學人福邸,114/04/23,2888,76.81,37.6,100.00%,公寓(5樓含以下無電梯),50,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;
中正區延平南路１７９巷３號二樓,太子愛國,114/04/22,2930,61.26,56.11,75.82%,華廈(10層含以下有電梯),46,二層/七層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,180,有,有,住家用,
中正區齊東街８２巷２３號,,114/04/21,2508,110.65,22.67,86.00%,公寓(5樓含以下無電梯),50,一層/四層,房地(土地+建物),土:4 建:1車:0,4房2廳2衛,,無,無,住家用,其他增建;
中正區漢口街一段５７號十二樓之５,向陽上冠,114/04/18,4489,133.65,42.46,53.83%,住宅大樓(11層含以上有電梯),1,十二層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,350,有,有,住家用,
中正區青島東路３７號四樓之２,青島畫樓,114/04/18,1215,95.77,12.69,76.25%,華廈(10層含以下有電梯),32,四層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,有,住家用,夾層;
中正區和平西路一段５９號五樓之２２,中正香榭,114/04/17,1835,159.59,11.5,47.88%,住宅大樓(11層含以上有電梯),17,五層/十四層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,有,有,住家用,陽台外推;其他增建;
中正區金山南路一段５７號五樓,富邦醴仁,114/04/15,13388,150.82,115.9,56.67%,住宅大樓(11層含以上有電梯),2,五層/十九層,房地(土地+建物)+車位,土:4 建:1車:3,,900,有,有,住家用,
中正區杭州南路一段１０５巷１８號五樓,,114/04/15,1628.4,51.41,31.67,90.93%,公寓(5樓含以下無電梯),48,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區廈門街１２９號十樓,廈之堡,114/04/14,2000,67.1,29.81,55.85%,住宅大樓(11層含以上有電梯),15,十層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,150,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區重慶南路三段１０４號三樓,,114/04/13,1560,63.98,24.38,100.00%,公寓(5樓含以下無電梯),50,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;其他增建;
中正區臨沂街３４之２號三樓,,114/04/13,2900,87.93,32.98,82.75%,公寓(5樓含以下無電梯),49,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
中正區廈門街１１３巷１號五樓之２,第一名廈,114/04/11,2210,95.92,22.19,56.86%,住宅大樓(11層含以上有電梯),17,五層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,200,有,有,住家用,
中正區重慶南路三段４３號八樓,總統傑仕堡,114/04/11,9150,138.66,75.21,55.98%,住宅大樓(11層含以上有電梯),4,八層/二十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,365,有,有,住家用,
中正區臨沂街３巷２１號五樓,,114/04/11,1780,91.03,19.55,83.56%,公寓(5樓含以下無電梯),37,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,頂樓加蓋;其他增建;
中正區杭州南路一段６巷１６號四樓,,114/04/11,1641.8,42.01,39.08,89.88%,華廈(10層含以下有電梯),48,四層/六層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區臨沂街４５巷１０號四樓,仁愛峻園,114/04/11,4580,99.17,46.18,46.48%,華廈(10層含以下有電梯),21,四層/六層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,無,有,住家用,
中正區思源街１２之９號十樓,健軍國民住宅Ｃ基地,114/04/08,4100,82.03,49.98,51.47%,住宅大樓(11層含以上有電梯),24,十層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,陽台外推;其他增建;
中正區汀州路二段８５號十四樓之３,中正晏京,114/04/08,5620,106.2,58.74,56.95%,住宅大樓(11層含以上有電梯),8,十四層/十九層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,280,有,有,住家用,
中正區林森南路５９之５號二樓,丹陽大廈,114/04/08,2000,93.81,21.32,90.04%,華廈(10層含以下有電梯),49,二層/七層,房地(土地+建物),土:4 建:1車:0,3房2廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區羅斯福路三段２４０巷１７弄８號,,114/04/06,3200,99.62,32.12,81.34%,公寓(5樓含以下無電梯),39,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;
中正區南昌路二段１８８號十四樓之３,,114/04/05,3700,111.27,33.25,56.62%,住宅大樓(11層含以上有電梯),13,十四層/十五層,房地(土地+建物)+車位,土:2 建:1車:1,2房2廳1衛,200,有,有,住家用,其他增建;
中正區齊東街７０巷１７號三樓之１,中正H25,114/04/05,2336,132.48,17.63,55.96%,華廈(10層含以下有電梯),1,三層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,
中正區辛亥路一段１７巷１０號三樓,,114/04/04,1770,63.03,28.08,100.00%,公寓(5樓含以下無電梯),55,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;
中正區臨沂街２４巷６號四樓,,114/04/03,4800,95.58,50.22,86.71%,華廈(10層含以下有電梯),48,四層/七層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,陽台外推;其他增建;
中正區和平西路二段９８巷３之１號二樓,,114/04/02,1200,48.03,24.99,92.64%,公寓(5樓含以下無電梯),50,二層/四層,房地(土地+建物),土:2 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區忠孝東路二段６４巷２８號十三樓,宏綺首相,114/03/31,16858,138.88,147.4,54.78%,住宅大樓(11層含以上有電梯),17,"十三層,十四層/十四層",房地(土地+建物)+車位,土:1 建:1車:3,4房2廳3衛,"1,200",有,有,住家用,陽台外推;
中正區寧波西街１２２巷１號四樓,南海苑,114/03/31,490.5,49.83,9.84,100.00%,公寓(5樓含以下無電梯),48,"四層,陽臺/四層",房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區思源街１２號八樓,健軍國民住宅Ｃ基地,114/03/30,4600,89.46,51.42,50.11%,住宅大樓(11層含以上有電梯),24,八層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,陽台外推;其他增建;
中正區臨沂街７１巷２弄３號,,114/03/29,2178,91.72,23.75,96.31%,公寓(5樓含以下無電梯),58,二層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,加窗陽台外推;其他增建;
中正區臨沂街７１巷１９弄４號四樓,,114/03/28,1300,55.82,23.29,79.15%,公寓(5樓含以下無電梯),44,四層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區南昌路一段３７號十樓,,114/03/27,2268,95.96,23.63,88.29%,華廈(10層含以下有電梯),43,十層/十層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,有,有,住家用,陽台外推;其他增建;
中正區林森南路８巷１之５號,,114/03/27,2620,106.39,24.63,100.00%,華廈(10層含以下有電梯),55,三層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,有,住家用,其他增建;
中正區忠孝東路一段１７６號七樓,,114/03/27,3250,92.4,35.17,82.59%,華廈(10層含以下有電梯),48,七層/十層,房地(土地+建物),土:1 建:2車:0,5房2廳2衛,,無,有,住家用,其他增建;
中正區西藏路１２號四樓,,114/03/26,63,60.19,1.05,100.00%,公寓(5樓含以下無電梯),49,四層/四層,房地(土地+建物),土:2 建:1車:0,,,無,無,住家用,頂樓加蓋;(包含)公共設施保留地(用地);
中正區三元街２１７號十二樓之１,荷廈大樓,114/03/26,900,81.29,11.07,61.01%,住宅大樓(11層含以上有電梯),33,十二層/十二層,房地(土地+建物),土:1 建:1車:0,1房2廳1衛,,有,有,住家用,陽台外推;其他增建;
中正區漢口街一段５７號五樓之５,向陽上冠,114/03/25,3386.3,124.99,27.09,55.73%,住宅大樓(11層含以上有電梯),1,五層/十五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,"土地金額新台幣:24,792,427元 建物金額新台幣:9,070,073元"
中正區漢口街一段５７號六樓之７,向陽上冠,114/03/25,4306,95.94,44.88,57.77%,住宅大樓(11層含以上有電梯),1,六層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區漢口街一段５７號九樓之９,向陽上冠,114/03/25,3450,120.82,28.56,53.89%,住宅大樓(11層含以上有電梯),1,九層/十五層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,有,住家用,
中正區信義路二段１６１巷８號四樓之１,信義VISTA,114/03/24,1710,183.36,9.33,49.92%,華廈(10層含以下有電梯),16,四層/七層,房地(土地+建物),土:1 建:2車:0,1房1廳1衛,,有,有,住家用,陽台外推;夾層;其他增建;
中正區仁愛路二段３８巷１１號五樓之１,,114/03/24,3200,85.67,37.35,84.15%,公寓(5樓含以下無電梯),44,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,頂樓加蓋;
中正區仁愛路二段７１號十樓之３,首都,114/03/22,3407,106.24,32.07,83.79%,住宅大樓(11層含以上有電梯),48,"十層,陽臺/十二層",房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,有,住家用,"有乙個車位的使用權,有繳費即可使用"
中正區中華路二段７５巷４４號之１六樓,,114/03/20,3300,70.73,46.65,70.45%,華廈(10層含以下有電梯),45,六層/七層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,有,有,住家用,
中正區金華街５１號七樓,,114/03/17,3188,111.39,28.62,82.16%,華廈(10層含以下有電梯),42,七層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;
中正區杭州南路一段７１巷１６號十樓,雍居仁愛,114/03/17,10523,137.13,76.74,46.89%,住宅大樓(11層含以上有電梯),2,十層/二十層,房地(土地+建物)+車位,土:1 建:1車:1,3房1廳2衛,,有,有,住家用,政府機關標讓售;
中正區寧波東街９巷１７號四樓,,114/03/14,940,71.37,13.17,100.00%,公寓(5樓含以下無電梯),49,"四層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區水源路３７之６號五樓,首都帝景,114/03/14,2530,86.59,34.65,57.07%,住宅大樓(11層含以上有電梯),7,五層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,1房2廳1衛,250,有,有,住家用,
中正區和平西路一段５６號十二樓之６,,114/03/13,2470,105.4,23.43,80.07%,住宅大樓(11層含以上有電梯),40,十二層/十二層,房地(土地+建物),土:9 建:1車:0,1房2廳1衛,,有,有,住家用,頂樓加蓋;其他增建;
中正區汀州路一段２１８巷１２號四樓,,114/03/13,1044,30.44,34.3,100.00%,公寓(5樓含以下無電梯),53,"四層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區中華路二段４８１號六樓之１,,114/03/12,2260,79.77,28.33,70.71%,華廈(10層含以下有電梯),34,六層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,有,住家用,陽台外推;其他增建;
中正區水源路３７號二樓之１,首都帝景,114/03/11,3950,61.89,63.83,55.21%,住宅大樓(11層含以上有電梯),7,二層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,
中正區杭州南路一段３５號六樓,正隆官邸,114/03/10,11000,133.8,104.75,57.64%,住宅大樓(11層含以上有電梯),1,六層/二十二層,房地(土地+建物)+車位,土:2 建:1車:3,4房2廳2衛,"1,050",有,有,住家用,
中正區廈門街１３５巷３號,,114/03/09,3550,97.12,36.55,100.00%,公寓(5樓含以下無電梯),51,"一層,露台/四層",房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,其他增建;
中正區漢口街一段５７號十二樓之７,向陽上冠,114/03/09,3620,124.29,37.88,54.93%,住宅大樓(11層含以上有電梯),1,十二層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,340,有,有,住家用,
中正區廈門街７１巷１０號,,114/03/08,3100,68.82,45.04,86.57%,公寓(5樓含以下無電梯),41,一層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,陽台外推;其他增建;
中正區信義路二段１號十四樓之１,中正梅園,114/03/08,6260,95.25,65.72,70.38%,住宅大樓(11層含以上有電梯),37,十四層/十七層,房地(土地+建物)+車位,土:3 建:1車:1,3房2廳2衛,,有,有,住家用,陽台外推;
中正區中華路二段４５５號三樓之４,,114/03/07,705,61.98,11.37,71.38%,華廈(10層含以下有電梯),48,三層/七層,房地(土地+建物),土:1 建:1車:0,1房1衛,,無,有,住家用,其他增建;
中正區愛國東路１００號六樓之１,元大天匯,114/03/07,34500,151.54,267.36,64.34%,住宅大樓(11層含以上有電梯),6,六層/十四層,房地(土地+建物)+車位,土:1 建:1車:5,,"1,560",有,有,住家用,
中正區羅斯福路三段１３６號十三樓,冠德羅斯福,114/03/06,12202,118.96,102.57,53.11%,住宅大樓(11層含以上有電梯),4,十三層/二十二層,房地(土地+建物)+車位,土:2 建:1車:1,3房3廳3衛,,有,有,住家用,政府機關標讓售;
中正區臨沂街１２號八樓之１,鴻禧臨沂華廈,114/03/06,1600,56.9,28.12,55.01%,住宅大樓(11層含以上有電梯),28,"八層,電梯樓梯間/十二層",房地(土地+建物)+車位,土:2 建:1車:2,3房2廳3衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區臨沂街１２號八樓之１,鴻禧臨沂華廈,114/03/06,1600,56.9,28.12,55.01%,住宅大樓(11層含以上有電梯),28,"八層,電梯樓梯間/十二層",房地(土地+建物)+車位,土:2 建:1車:2,3房2廳3衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區羅斯福路三段１３６號十四樓之１,冠德羅斯福,114/03/05,12689.9,123.72,102.57,53.11%,住宅大樓(11層含以上有電梯),4,十四層/二十二層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳3衛,,有,有,住家用,政府機關標讓售;
中正區延平南路１９５巷６號二樓,愛國新城丁基地,114/03/05,3588,92.28,38.88,73.29%,華廈(10層含以下有電梯),32,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;其他增建;
中正區杭州南路一段８之２號五樓之１,天福大樓,114/03/05,3180,100.49,31.64,72.21%,華廈(10層含以下有電梯),49,五層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;其他增建;
中正區羅斯福路二段１４０號十二樓之１,哈佛新廈,114/03/05,6000,81.61,73.52,71.53%,住宅大樓(11層含以上有電梯),37,十二層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳3衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;
